Article	Category
Megathread: Sean Spicer WWII gaffe	Politics
Manafort Firm Received Ukraine Ledger Payout	Politics
Its not too late to get rid of FBI Director James Comey, Trump says	Politics
Donald Trump, who doesnt read books, is ignorant of history  and so is his pet chump Sean Spicer	Politics
Did he or didnt he? Trump contradicts himself on whether he knew Steve Bannon	Politics
Trump lists Carter Page among his foreign policy team in 2016	Politics
Is Stephen Bannon getting pushed out? The latest signs point to Yes.	Politics
Silicon Valley is beginning to fight the Trump administrations net neutrality plan	Politics
Theres proof that ex-Trump campaign manager Paul Manafort lied about not being paid by Russia proxies: report	Politics
TMZ catches Paul Ryan vacationing at Universal theme park while avoiding town halls at home	Politics
EPA: US Steel leaks chemical into Lake Michigan tributary	Politics
Dems to unveil populist agenda showing Sanders sway	Politics
Trump Lifting His Federal Hiring Freeze	Politics
Prosecutor: Jeff Sessionss New Immigration Plan Is F*cking Horrifying	Politics
Trump tells Fox how he ordered strikes on Syria over dessert with Xi	Politics
The Republican Won, but Voters Shifted Left in the Kansas Special Election	Politics
Poll: Dems hold double-digit leads in Virginia governor race	Politics
President Trumps vacations already set to surpass Obamas total travel expenses	Politics
Trump wont let reality stop him from lying about Susan Rice	Politics
FBI obtained FISA warrant to monitor former Trump adviser Carter Page	Politics
The Republican Party is dissolving before our eyes	Politics
President Trump gets almost everything wrong about the Kansas special election in a dumbfounding tweet	Politics
Manafort firm received Ukraine ledger payout	Politics
Congressmen Gaetz and Soto Propose Legislation to Reschedule Marijuana	Politics
Sessions: Congress will fund Trumps border wall	Politics
Classified docs contradict Nunes surveillance claims, GOP and Dem sources say	Politics
When a loss is a win: 25-point swing in Kansas House race could mean Democratic landslide in 2018	Politics
Why are California legislators getting decent approval ratings? Theyre getting things done	Politics
US companies now have 1.6 trillion stashed in tax havens and Trumps plans will make matters worse, Oxfam claims	Politics
FBI says Jeff Sessions pick for Trump team was an alleged Russian agent	Politics
Trump just threw Steve Bannon under the bus and backed it up over him	Politics
Trumps saber-rattling is North Koreas propaganda dream come true	Politics
Carter Page Feels Like a Warning Shot	Politics
This could be the end for Bill OReilly	Politics
DeVos undoes Obama student loan protections; defaults expected to rise	Politics
Trump says he created 600,000 jobs. Not true	Politics
Nature supports the march for science	Politics
Spicer: I let the president down	Politics
Russian Spy Met Trump Adviser Carter Page and Thought He Was an Idiot	Politics
Airlines Treat People Like Dirt Because the Republicans in Congress Let Them	Politics
Trump Budget Director Admits Their Goal Is High Inequality, Not Low Deficits	Politics
Republican climate change deniers condemned as woefully ignorant by scientists	Politics
Trump thinks that we bombed Iraq, not Syria. Has to be corrected by the interviewer.	Politics
DeVos Undoes Obama Student Loan Protections	Politics
Trump voters realize the hard way that the president cant follow through.	Politics
The wife of the Alabama governor who just resigned orchestrated his downfall after she caught him cheating	Politics
Middle East travellers to the US down 20%, says Marriott CEO	Politics
Every Part Of This Sentence From Donald Trump Is False	Politics
Republicans are floating a tax reform plan that could threaten Social Security	Politics
Tillerson Asks Why U.S. Taxpayers Should Care About Ukraine	Politics
Germany on Spicer: Nazi parallels lead to nothing good	Politics
Ajit Pai cant convince websites that killing net neutrality is a good idea	Politics
The FCCs plan to kill net neutrality will also kill internet privacy	Politics
Chris Matthews speculates Syria airstrike was set piece to kill Trump/Putin narrative	Politics
If every House election went like last nights, Dems would win a 314-seat House majority in 2018	Politics
North Carolina Republicans File Bill to Ban Same-Sex Marriage	Politics
Mitt Romneys binders full of women were real and have been leaked to the press	Politics
Donald Trump just keeps saying things that arent true	Politics
Crowd shouts You Lie at Joe Wilson, who shouted at Obama	Politics
The stunning hypocrisy of Scott Pruitts request for around-the-clock bodyguards	Politics
Jeff Sessions prepared speech at the border referred to immigrants as filth	Politics
The Trump Administration Lost Again in Court, This Time on Voter ID	Politics
Trump: I told Chinese president about Syria airstrikes over dessert	Politics
Trump Declines to Say He Supports Bannon, Declares, Im My Own Strategist	Politics
Howard Dean was warning people about the opioid crisis a decade ago	Politics
Putin meets with Tillerson in Russia as Syria row deepens	Politics
A group of engineers just submitted this incredible proposal for Trumps border wall thats actually a $15 billion hyperloop	Politics
Donald Trump sounds sick of Steve Bannon	Politics
Schumer: If Trump doesnt release his tax returns, its going to make tax reform much harder	Politics
The butchers bill keeps growing: Donald Trump abuses his own voters  and yet they love him	Politics
White House loses it over sanctuary cities: Team Trump threatens a government shutdown	Politics
Utah brothers launch billboard campaign to send message to Chaffetz	Politics
Trumps modeling agency to shut down after exploiting illegal immigrants	Politics
Trump blames vacancies on lousy process	Politics
Fox Business Host Corrects Trump When He Says He Fired Missiles At Iraq	Politics
Manafort firm received Ukraine ledger payout	Politics
Live Results: Republicans Defend House Seat in Kansas Special Election	Politics
Germany to Spicer: Nazi analogies lead to nothing good	Politics
Trumps tax returns will be immediately under audit	Politics
Georgia Republican makes unsubstantiated claim that rival is putting up yard signs without asking	Politics
Manafort firm received Ukraine ledger payout	Politics
Nancy Pelosi: Sean Spicer must be fired	Politics
GLAAD Calling on Nikki Haley to Act on Chechyna	Politics
Trump is taking credit for jobs companies planned years in advance	Politics
Scott Pruitt requests funds for a 24/7 fleet of bodyguards, as the EPA is poised to cut health and safety programs	Politics
Trump Signals Steve Bannon Could Be On His Way Out	Politics
Tennessee Could Give Taxpayers Americas Fastest Internet For Free, But It Will Give Comcast and AT&T $45 Million Instead	Politics
Donald Trumps White House cant even organize the Easter Egg roll	Politics
Why Doesnt the United States Have Universal Healthcare?	Politics
3 of Alabamas most powerful Republicans forced from office in 9 months	Politics
Sorry America, Your Taxes Arent High	Politics
Nearly 1,500 economists across political divide agree that immigrants are good for the U.S.	Politics
Climate Change Is A National Security Issue, Says The Military	Politics
A Republican Wins in Kansas. Its Still a Loss for the G.O.P.	Politics
Panicked Borrowers, and the Education Departments Unsettling Silence	Politics
President Trumps throughly confusing Fox Business interview, annotated	Politics
No, Trump Has Not Created 600,000 Jobs Since Becoming President	Politics
Attendees chant you lie at U.S. Rep. Joe Wilson during Graniteville town hall	Politics
Donald Trump recounts eating the most beautiful piece of chocolate cake with Xi Jinping while launching missiles heading to Iraq	Politics
Vladimir Putin says US-Russia relations are worse since Donald Trump took office	Politics
Im Rep. Beth Fukumoto, former Republican, current Independent, prospective Democrat	Politics
The most ill-informed, under-prepared, and psychologically ill-equipped president in US history	Politics
Trump Says He May Freeze Subsidies to the Poor Until Democrats Repeal Obamacare	Politics
Trump-linked businesses loaned $13M to shell corporation Paul Manafort created on day he left campaign	Politics
Watchdog Claims They Have Evidence Bannon Was Illegally Paid as Trumps Campaign Chair	Politics
Ex-MI6 chief accuses Donald Trump of secretly borrowing from Russia to keep his property empire afloat during the financial crisis	Politics
Trump Says He Didnt Know Bannon Until Campaign, but They Met in 2011	Politics
Undercooled meat. Dangerous fish. Health inspectors zing Trumps Mar-a-Lago kitchen	Politics
Trump on North Korea: after listening for 10 minutes, I realized its not so easy	Politics
After Campaign Exit, Manafort Borrowed From Businesses With Trump Ties	Politics
Trump Reverses Himself On 6 Major Issues In 2 Days	Politics
Donald Trump Is Still Annoyed That Everyone Thinks Steve Bannon Is the Real President	Politics
New Evidence Suggests Mercer-Backed Super PAC Unlawfully Coordinated with Trump Campaign; Bannon Front did not Comply with California Law	Politics
The Russia story just keeps getting worse for President Trump	Politics
Attorney General Jeff Sessions Is Using His Job to Purge America of People Who Dont Look Like Him	Politics
Secretary Tillerson fails to defend US journalist in Russia	Politics
The FBI suspected Carter Page was working as an agent for Russia	Politics
US intelligence intercepted communications between Syrian military and chemical experts	Politics
The Latest: Page wont say who brought him on Trump campaign	Politics
Carter Page now a no comment on FBI investigations	Politics
Trump flips on four policies in one day	Politics
Sanders: Trump will be a one-term president	Politics
George W. Bush Calls Foreign Aid A Moral And Security Imperative	Politics
North Carolina GOP Lawmaker Calls Abraham Lincoln a Tyrant Like Adolf Hitler	Politics
Sessions Is Surprised At Public Backlash To His Marijuana Rhetoric	Politics
Sanders: Dems win if we mobilize & educate	Politics
Its not too late to get rid of FBI Director James Comey, Trump says	Politics
